season,name,team,pos,games,minutes,points,rebounds,assists,steals,blocks,turnovers
2023-24,Luka Dončić,DAL,PG,70,2624,2370,647,686,99,38,282
2023-24,Shai Gilgeous-Alexander,OKC,PG,75,2553,2254,415,465,150,67,162
2023-24,Giannis Antetokounmpo,MIL,PF,73,2567,2222,841,476,87,79,250
2023-24,Jalen Brunson,NYK,PG,77,2726,2212,278,519,70,13,186
2023-24,Nikola Jokić,DEN,C,79,2737,2085,976,708,108,68,237
2023-24,Anthony Edwards,MIN,SG,79,2770,2049,430,405,101,42,241
2023-24,Kevin Durant,PHO,PF,75,2791,2032,495,378,69,91,244
2023-24,Jayson Tatum,BOS,PF,74,2645,1987,601,364,75,43,188
2023-24,De'Aaron Fox,SAC,PG,74,2659,1966,340,418,150,31,194
2023-24,Stephen Curry,GSW,PG,74,2421,1956,330,379,54,28,210
2023-24,DeMar DeRozan,CHI,SF,79,2989,1897,340,421,90,45,135
2023-24,Anthony Davis,LAL,C,76,2700,1876,961,266,91,178,159
2023-24,Devin Booker,PHO,PG,68,2447,1841,308,472,61,28,178
2023-24,LeBron James,LAL,PF,71,2504,1822,518,589,89,38,245
2023-24,Tyrese Maxey,PHI,PG,70,2626,1816,258,433,69,33,116
2023-24,Paolo Banchero,ORL,PF,80,2799,1804,554,431,71,47,247
2023-24,Damian Lillard,MIL,PG,73,2579,1775,320,508,72,18,193
2023-24,Dejounte Murray,ATL,SG,78,2783,1753,416,502,111,24,201
2023-24,Pascal Siakam,IND,PF,80,2657,1737,565,342,63,25,141
2023-24,Paul George,LAC,PF,74,2502,1671,388,262,113,37,153
2023-24,Kawhi Leonard,LAC,SF,68,2330,1613,416,244,111,59,119
2023-24,Jaylen Brown,BOS,SF,70,2343,1610,387,249,83,37,166
2023-24,Jalen Green,HOU,SG,82,2601,1610,423,291,66,28,191
2023-24,Mikal Bridges,BRK,SF,82,2854,1606,372,299,81,30,164
2023-24,Zion Williamson,NOP,PF,70,2207,1601,406,352,77,47,193
2023-24,Domantas Sabonis,SAC,C,82,2928,1593,1120,673,74,48,272
2023-24,Kyle Kuzma,WAS,PF,70,2281,1553,464,296,37,49,192
2023-24,Victor Wembanyama,SAS,C,71,2106,1522,755,274,88,254,260
2023-24,Coby White,CHI,PG,79,2881,1509,358,405,53,18,166
2023-24,Kyrie Irving,DAL,SG,58,2030,1487,290,299,74,28,106
2023-24,Jaren Jackson Jr.,MEM,C,66,2124,1486,365,154,80,106,160
2023-24,Cam Thomas,BRK,SG,66,2075,1482,214,192,45,16,124
2023-24,Donovan Mitchell,CLE,SG,55,1942,1463,280,333,101,30,154
2023-24,Collin Sexton,UTA,SG,78,2075,1458,205,383,62,18,165
2023-24,Miles Bridges,CHO,SF,69,2581,1449,505,231,65,33,138
2023-24,Franz Wagner,ORL,SF,72,2337,1421,381,269,76,28,137
2023-24,Cade Cunningham,DET,PG,62,2074,1405,268,464,56,22,212
