season,name,team,pos,games,minutes,points,rebounds,assists,steals,blocks,turnovers
2024-25,Shai Gilgeous-Alexander,OKC,PG,76,2598,2484,379,486,131,77,183
2024-25,Anthony Edwards,MIN,SG,79,2871,2177,450,359,91,51,249
2024-25,Nikola Jokić,DEN,C,70,2571,2071,892,716,127,45,230
2024-25,Giannis Antetokounmpo,MIL,PF,67,2289,2036,798,433,58,78,206
2024-25,Jayson Tatum,BOS,PF,72,2624,1932,623,431,76,38,209
2024-25,Devin Booker,PHO,SG,75,2795,1923,305,529,67,16,220
2024-25,Trae Young,ATL,PG,76,2739,1841,236,880,91,12,355
2024-25,Tyler Herro,MIA,SG,77,2725,1840,399,424,69,17,198
2024-25,Cade Cunningham,DET,PG,70,2452,1830,425,638,71,53,309
2024-25,James Harden,LAC,PG,79,2789,1802,456,687,118,55,341
2024-25,Karl-Anthony Towns,NYK,C,72,2517,1759,920,222,71,50,192
2024-25,Zach LaVine,CHI,SG,74,2602,1724,315,310,58,12,208
2024-25,Jalen Green,HOU,SG,82,2697,1723,377,282,71,27,203
2024-25,Stephen Curry,GSW,PG,70,2252,1718,310,421,80,30,200
2024-25,DeMar DeRozan,SAC,SF,77,2768,1710,298,342,62,32,105
2024-25,LeBron James,LAL,SF,70,2444,1710,546,575,70,39,260
2024-25,Donovan Mitchell,CLE,SG,71,2232,1701,322,354,95,17,149
2024-25,Jalen Brunson,NYK,PG,65,2301,1690,187,475,60,8,164
2024-25,Kevin Durant,PHO,PF,62,2265,1647,374,263,50,77,190
2024-25,Jaren Jackson Jr.,MEM,C,74,2207,1641,417,148,92,113,153
2024-25,Pascal Siakam,IND,PF,78,2548,1578,540,263,70,42,109
2024-25,Darius Garland,CLE,PG,75,2301,1544,214,506,91,11,189
2024-25,Coby White,CHI,SG,74,2450,1509,273,330,69,16,177
2024-25,Jalen Williams,OKC,SG,69,2237,1490,369,354,111,46,150
2024-25,Austin Reaves,LAL,SG,73,2550,1475,329,421,81,22,177
2024-25,De'Aaron Fox,SAC,PG,62,2241,1459,298,392,91,25,174
2024-25,Alperen Şengün,HOU,C,76,2395,1451,786,372,84,61,194
2024-25,Franz Wagner,ORL,SF,60,2023,1449,342,284,75,21,138
2024-25,Damian Lillard,MIL,PG,58,2093,1447,272,410,70,10,162
2024-25,Mikal Bridges,NYK,SF,82,3036,1444,259,306,75,43,132
2024-25,Jamal Murray,DEN,PG,67,2418,1436,261,403,91,33,138
2024-25,Bam Adebayo,MIA,C,78,2674,1410,749,337,98,53,161
2024-25,Luka Dončić,LAL,PG,50,1769,1408,409,383,89,21,179
2024-25,Jaylen Brown,BOS,SF,63,2158,1398,368,286,73,19,162
2024-25,Michael Porter Jr.,DEN,SF,77,2593,1398,540,165,50,38,104
2024-25,Jordan Poole,WAS,SG,68,2001,1391,203,303,86,27,204
2024-25,Tyrese Maxey,PHI,PG,52,1960,1369,174,317,91,21,124
2024-25,Tyrese Haliburton,IND,PG,73,2451,1359,258,673,105,49,120
2024-25,Nikola Vučević,CHI,C,73,2278,1349,735,256,61,52,119
2024-25,Anfernee Simons,POR,SG,70,2292,1348,189,337,60,5,143
2024-25,Ivica Zubac,LAC,C,80,2624,1340,1010,214,55,90,127
2024-25,Domantas Sabonis,SAC,C,70,2429,1337,972,423,48,26,202
2024-25,Malik Beasley,DET,SG,82,2283,1336,214,139,73,5,83
2024-25,Shaedon Sharpe,POR,SG,72,2252,1335,324,198,62,16,150
2024-25,OG Anunoby,NYK,PF,74,2706,1332,358,164,110,65,102
2024-25,Desmond Bane,MEM,SG,69,2205,1327,418,369,80,28,169
2024-25,Evan Mobley,CLE,PF,71,2167,1316,659,226,61,113,145
2024-25,Norman Powell,LAC,SG,60,1958,1306,190,125,73,9,108
2024-25,Miles Bridges,CHO,PF,64,2029,1300,481,248,44,45,136
2024-25,Julius Randle,MIN,PF,69,2226,1288,487,323,47,16,196
2024-25,Anthony Davis,LAL,C,51,1706,1261,590,181,59,110,113
2024-25,Scottie Barnes,TOR,PF,65,2134,1252,502,378,93,63,185
2024-25,Derrick White,BOS,SG,76,2574,1248,341,361,72,80,131
2024-25,Kyrie Irving,DAL,SG,50,1804,1234,240,231,66,23,111
2024-25,RJ Barrett,TOR,SF,58,1869,1223,366,314,46,17,165
2024-25,Deni Avdija,POR,SF,72,2161,1219,522,281,71,35,196
2024-25,Christian Braun,DEN,SG,79,2675,1218,410,205,85,37,81
2024-25,Paolo Banchero,ORL,PF,46,1582,1191,345,219,36,28,136
2024-25,Stephon Castle,SAS,SG,81,2162,1190,297,332,74,22,177
2024-25,LaMelo Ball,CHO,PG,47,1505,1184,232,346,54,13,167
2024-25,CJ McCollum,NOP,PG,56,1832,1183,212,227,46,24,106
2024-25,Ja Morant,MEM,PG,50,1519,1159,205,364,61,12,185
2024-25,Collin Sexton,UTA,SG,63,1758,1159,171,264,47,6,160
2024-25,Bennedict Mathurin,IND,SF,72,2149,1156,383,136,47,24,135
2024-25,Payton Pritchard,BOS,PG,80,2271,1144,307,279,70,14,83
2024-25,Naz Reid,MIN,C,80,2200,1138,480,181,58,72,108
2024-25,Keyonte George,UTA,PG,67,2109,1125,253,377,46,9,183
2024-25,Trey Murphy III,NOP,SF,53,1854,1124,268,188,56,39,103
2024-25,Myles Turner,IND,C,72,2174,1120,471,111,54,144,123
2024-25,Malik Monk,SAC,SG,65,2054,1117,245,362,61,38,159
2024-25,Victor Wembanyama,SAS,C,46,1527,1116,506,168,52,176,149
2024-25,Jarrett Allen,CLE,C,82,2296,1103,798,158,77,73,97
2024-25,Quentin Grimes,DAL,SG,75,2013,1092,324,228,74,22,141
2024-25,De'Andre Hunter,ATL,SF,64,1740,1088,258,92,50,13,82
2024-25,Andrew Wiggins,GSW,SF,60,1842,1078,269,158,60,50,99
2024-25,Dyson Daniels,ATL,SG,76,2571,1073,449,333,229,55,155
2024-25,Cameron Johnson,BRK,PF,57,1800,1070,247,194,53,25,99
2024-25,Dillon Brooks,HOU,SF,75,2388,1053,275,128,60,16,76
2024-25,Josh Hart,NYK,SG,77,2897,1051,737,453,119,27,158
2024-25,Brook Lopez,MIL,C,80,2546,1041,401,143,50,148,84
2024-25,Devin Vassell,SAS,SG,64,1983,1041,255,183,84,33,88
2024-25,Josh Giddey,CHI,PG,70,2117,1022,566,503,84,45,202
2024-25,Harrison Barnes,SAS,PF,82,2230,1011,310,136,39,14,50
2024-25,Klay Thompson,DAL,SF,72,1965,1005,246,145,50,30,88
2024-25,Tobias Harris,DET,PF,73,2306,1002,432,162,74,57,85
2024-25,Jaden McDaniels,MIN,PF,82,2614,1000,470,163,110,74,95
2024-25,Russell Westbrook,DEN,PG,75,2092,994,370,457,106,37,242
